"NUTS_ID","date","var","values"
"LT015","2020-03-23","confirmed",0
"LT015","2020-03-24","confirmed",0
"LT015","2020-03-25","confirmed",0
"LT015","2020-03-26","confirmed",0
"LT015","2020-03-27","confirmed",0
"LT015","2020-03-28","confirmed",0
"LT015","2020-03-29","confirmed",0
"LT015","2020-03-30","confirmed",0
"LT015","2020-03-31","confirmed",0
"LT015","2020-04-01","confirmed",0
"LT015","2020-04-02","confirmed",0
"LT015","2020-04-03","confirmed",0
"LT015","2020-04-04","confirmed",0
"LT015","2020-04-05","confirmed",0
"LT015","2020-04-06","confirmed",1
"LT015","2020-04-07","confirmed",0
"LT015","2020-04-08","confirmed",0
"LT016","2020-02-24","confirmed",0
"LT016","2020-02-25","confirmed",0
"LT016","2020-02-26","confirmed",0
"LT016","2020-02-27","confirmed",0
"LT016","2020-02-28","confirmed",0
"LT016","2020-02-29","confirmed",0
"LT016","2020-03-01","confirmed",0
"LT016","2020-03-02","confirmed",0
"LT016","2020-03-03","confirmed",0
"LT016","2020-03-04","confirmed",0
"LT016","2020-03-05","confirmed",0
"LT016","2020-03-06","confirmed",0
"LT016","2020-03-07","confirmed",0
"LT016","2020-03-08","confirmed",0
"LT016","2020-03-09","confirmed",0
"LT016","2020-03-10","confirmed",0
"LT016","2020-03-11","confirmed",0
"LT016","2020-03-12","confirmed",0
"LT016","2020-03-13","confirmed",0
"LT016","2020-03-14","confirmed",0
"LT016","2020-03-15","confirmed",0
"LT016","2020-03-16","confirmed",0
"LT016","2020-03-17","confirmed",0
"LT016","2020-03-18","confirmed",0
"LT016","2020-03-19","confirmed",0
"LT016","2020-03-20","confirmed",0
"LT016","2020-03-21","confirmed",0
"LT016","2020-03-22","confirmed",0
"LT016","2020-03-23","confirmed",0
"LT016","2020-03-24","confirmed",0
"LT016","2020-03-25","confirmed",0
"LT016","2020-03-26","confirmed",0
"LT016","2020-03-27","confirmed",0
"LT016","2020-03-28","confirmed",0
"LT016","2020-03-29","confirmed",0
"LT016","2020-03-30","confirmed",0
"LT016","2020-03-31","confirmed",0
"LT016","2020-04-01","confirmed",0
"LT016","2020-04-02","confirmed",0
"LT016","2020-04-03","confirmed",0
"LT016","2020-04-04","confirmed",0
"LT016","2020-04-05","confirmed",0
"LT016","2020-04-06","confirmed",1
"LT016","2020-04-07","confirmed",0
"LT016","2020-04-08","confirmed",0
"LT017","2020-02-24","confirmed",0
"LT017","2020-02-25","confirmed",0
"LT017","2020-02-26","confirmed",0
"LT017","2020-02-27","confirmed",0
"LT017","2020-02-28","confirmed",0
"LT017","2020-02-29","confirmed",0
"LT017","2020-03-01","confirmed",0
"LT017","2020-03-02","confirmed",0
"LT017","2020-03-03","confirmed",0
"LT017","2020-03-04","confirmed",0
"LT017","2020-03-05","confirmed",0
"LT017","2020-03-06","confirmed",0
"LT017","2020-03-07","confirmed",0
"LT017","2020-03-08","confirmed",0
"LT017","2020-03-09","confirmed",0
"LT017","2020-03-10","confirmed",0
"LT017","2020-03-11","confirmed",0
"LT017","2020-03-12","confirmed",0
"LT017","2020-03-13","confirmed",0
"LT017","2020-03-14","confirmed",0
"LT017","2020-03-15","confirmed",0
"LT017","2020-03-16","confirmed",0
"LT017","2020-03-17","confirmed",0
"LT017","2020-03-18","confirmed",0
"LT017","2020-03-19","confirmed",0
"LT017","2020-03-20","confirmed",0
"LT017","2020-03-21","confirmed",0
"LT017","2020-03-22","confirmed",0
"LT017","2020-03-23","confirmed",0
"LT017","2020-03-24","confirmed",0
"LT017","2020-03-25","confirmed",0
"LT017","2020-03-26","confirmed",0
"LT017","2020-03-27","confirmed",0
"LT017","2020-03-28","confirmed",0
"LT017","2020-03-29","confirmed",0
"LT017","2020-03-30","confirmed",0
"LT017","2020-03-31","confirmed",0
"LT017","2020-04-01","confirmed",0
"LT017","2020-04-02","confirmed",0
"LT017","2020-04-03","confirmed",0
"LT017","2020-04-04","confirmed",0
"LT017","2020-04-05","confirmed",0
"LT017","2020-04-06","confirmed",1
"LT017","2020-04-07","confirmed",0
"LT017","2020-04-08","confirmed",0
"LT018","2020-02-24","confirmed",0
"LT018","2020-02-25","confirmed",0
"LT018","2020-02-26","confirmed",0
"LT018","2020-02-27","confirmed",0
"LT018","2020-02-28","confirmed",0
"LT018","2020-02-29","confirmed",0
"LT018","2020-03-01","confirmed",0
"LT018","2020-03-02","confirmed",0
"LT018","2020-03-03","confirmed",0
"LT018","2020-03-04","confirmed",0
"LT018","2020-03-05","confirmed",0
"LT018","2020-03-06","confirmed",0
"LT018","2020-03-07","confirmed",0
"LT018","2020-03-08","confirmed",0
"LT018","2020-03-09","confirmed",0
"LT018","2020-03-10","confirmed",0
"LT018","2020-03-11","confirmed",0
"LT018","2020-03-12","confirmed",0
"LT018","2020-03-13","confirmed",0
"LT018","2020-03-14","confirmed",0
"LT018","2020-03-15","confirmed",0
"LT018","2020-03-16","confirmed",0
"LT018","2020-03-17","confirmed",0
"LT018","2020-03-18","confirmed",0
"LT018","2020-03-19","confirmed",0
"LT018","2020-03-20","confirmed",0
"LT018","2020-03-21","confirmed",0
"LT018","2020-03-22","confirmed",0
"LT018","2020-03-23","confirmed",0
"LT018","2020-03-24","confirmed",0
"LT018","2020-03-25","confirmed",0
"LT018","2020-03-26","confirmed",0
"LT018","2020-03-27","confirmed",0
"LT018","2020-03-28","confirmed",0
"LT018","2020-03-29","confirmed",0
"LT018","2020-03-30","confirmed",0
"LT018","2020-03-31","confirmed",0
"LT018","2020-04-01","confirmed",0
"LT018","2020-04-02","confirmed",0
"LT018","2020-04-03","confirmed",0
"LT018","2020-04-04","confirmed",0
"LT018","2020-04-05","confirmed",0
"LT018","2020-04-06","confirmed",1
"LT018","2020-04-07","confirmed",0
"LT018","2020-04-08","confirmed",0
"LT019","2020-02-24","confirmed",0
"LT019","2020-02-25","confirmed",0
"LT019","2020-02-26","confirmed",0
"LT019","2020-02-27","confirmed",0
"LT019","2020-02-28","confirmed",0
"LT019","2020-02-29","confirmed",0
"LT019","2020-03-01","confirmed",0
"LT019","2020-03-02","confirmed",0
"LT019","2020-03-03","confirmed",0
"LT019","2020-03-04","confirmed",0
"LT019","2020-03-05","confirmed",0
"LT019","2020-03-06","confirmed",0
"LT019","2020-03-07","confirmed",0
"LT019","2020-03-08","confirmed",0
"LT019","2020-03-09","confirmed",0
"LT019","2020-03-10","confirmed",0
"LT019","2020-03-11","confirmed",0
"LT019","2020-03-12","confirmed",0
"LT019","2020-03-13","confirmed",0
"LT019","2020-03-14","confirmed",0
"LT019","2020-03-15","confirmed",0
"LT019","2020-03-16","confirmed",0
"LT019","2020-03-17","confirmed",0
"LT019","2020-03-18","confirmed",0
"LT019","2020-03-19","confirmed",0
"LT019","2020-03-20","confirmed",0
"LT019","2020-03-21","confirmed",0
"LT019","2020-03-22","confirmed",0
"LT019","2020-03-23","confirmed",0
"LT019","2020-03-24","confirmed",0
"LT019","2020-03-25","confirmed",0
"LT019","2020-03-26","confirmed",0
"LT019","2020-03-27","confirmed",0
"LT019","2020-03-28","confirmed",0
"LT019","2020-03-29","confirmed",0
"LT019","2020-03-30","confirmed",0
"LT019","2020-03-31","confirmed",0
"LT019","2020-04-01","confirmed",0
"LT019","2020-04-02","confirmed",0
"LT019","2020-04-03","confirmed",0
"LT019","2020-04-04","confirmed",0
"LT019","2020-04-05","confirmed",0
"LT019","2020-04-06","confirmed",1
"LT019","2020-04-07","confirmed",0
"LT019","2020-04-08","confirmed",0
"LT020","2020-02-24","confirmed",0
"LT020","2020-02-25","confirmed",0
"LT020","2020-02-26","confirmed",0
"LT020","2020-02-27","confirmed",0
"LT020","2020-02-28","confirmed",0
"LT020","2020-02-29","confirmed",0
"LT020","2020-03-01","confirmed",0
"LT020","2020-03-02","confirmed",0
"LT020","2020-03-03","confirmed",0
"LT020","2020-03-04","confirmed",0
"LT020","2020-03-05","confirmed",0
"LT020","2020-03-06","confirmed",0
"LT020","2020-03-07","confirmed",0
"LT020","2020-03-08","confirmed",0
"LT020","2020-03-09","confirmed",0
"LT020","2020-03-10","confirmed",0
"LT020","2020-03-11","confirmed",0
"LT020","2020-03-12","confirmed",0
"LT020","2020-03-13","confirmed",0
"LT020","2020-03-14","confirmed",0
"LT020","2020-03-15","confirmed",0
"LT020","2020-03-16","confirmed",0
"LT020","2020-03-17","confirmed",0
"LT020","2020-03-18","confirmed",0
"LT020","2020-03-19","confirmed",0
"LT020","2020-03-20","confirmed",0
"LT020","2020-03-21","confirmed",0
"LT020","2020-03-22","confirmed",0
"LT020","2020-03-23","confirmed",0
"LT020","2020-03-24","confirmed",0
"LT020","2020-03-25","confirmed",0
"LT020","2020-03-26","confirmed",0
"LT020","2020-03-27","confirmed",0
"LT020","2020-03-28","confirmed",0
"LT020","2020-03-29","confirmed",0
"LT020","2020-03-30","confirmed",0
"LT020","2020-03-31","confirmed",0
"LT020","2020-04-01","confirmed",0
"LT020","2020-04-02","confirmed",0
"LT020","2020-04-03","confirmed",0
"LT020","2020-04-04","confirmed",0
"LT020","2020-04-05","confirmed",0
"LT020","2020-04-06","confirmed",1
"LT020","2020-04-07","confirmed",0
"LT020","2020-04-08","confirmed",0
"LT021","2020-02-24","confirmed",0
"LT021","2020-02-25","confirmed",0
"LT021","2020-02-26","confirmed",0
"LT021","2020-02-27","confirmed",0
"LT021","2020-02-28","confirmed",0
"LT021","2020-02-29","confirmed",0
"LT021","2020-03-01","confirmed",0
"LT021","2020-03-02","confirmed",0
"LT021","2020-03-03","confirmed",0
"LT021","2020-03-04","confirmed",0
"LT021","2020-03-05","confirmed",0
"LT021","2020-03-06","confirmed",0
"LT021","2020-03-07","confirmed",0
"LT021","2020-03-08","confirmed",0
"LT021","2020-03-09","confirmed",0
"LT021","2020-03-10","confirmed",0
"LT021","2020-03-11","confirmed",0
"LT021","2020-03-12","confirmed",0
"LT021","2020-03-13","confirmed",0
"LT021","2020-03-14","confirmed",0
"LT021","2020-03-15","confirmed",0
"LT021","2020-03-16","confirmed",0
"LT021","2020-03-17","confirmed",0
"LT021","2020-03-18","confirmed",0
"LT021","2020-03-19","confirmed",0
"LT021","2020-03-20","confirmed",0
"LT021","2020-03-21","confirmed",0
"LT021","2020-03-22","confirmed",0
"LT021","2020-03-23","confirmed",1
"LT021","2020-03-24","confirmed",0
"LT021","2020-03-25","confirmed",4
"LT021","2020-03-26","confirmed",1
"LT021","2020-03-27","confirmed",0
"LT021","2020-03-28","confirmed",0
"LT021","2020-03-29","confirmed",0
"LT021","2020-03-30","confirmed",0
"LT021","2020-03-31","confirmed",0
"LT021","2020-04-01","confirmed",0
"LT021","2020-04-02","confirmed",0
"LT021","2020-04-03","confirmed",0
"LT021","2020-04-04","confirmed",0
"LT021","2020-04-05","confirmed",0
"LT021","2020-04-06","confirmed",1
"LT021","2020-04-07","confirmed",0
"LT021","2020-04-08","confirmed",0
"LT022","2020-02-24","confirmed",0
"LT022","2020-02-25","confirmed",0
"LT022","2020-02-26","confirmed",0
"LT022","2020-02-27","confirmed",0
"LT022","2020-02-28","confirmed",0
"LT022","2020-02-29","confirmed",0
"LT022","2020-03-01","confirmed",0
"LT022","2020-03-02","confirmed",0
"LT022","2020-03-03","confirmed",0
"LT022","2020-03-04","confirmed",0
"LT022","2020-03-05","confirmed",0
"LT022","2020-03-06","confirmed",0
"LT022","2020-03-07","confirmed",0
"LT022","2020-03-08","confirmed",0
"LT022","2020-03-09","confirmed",0
"LT022","2020-03-10","confirmed",2
"LT022","2020-03-11","confirmed",0
"LT022","2020-03-12","confirmed",0
"LT022","2020-03-13","confirmed",1
"LT022","2020-03-14","confirmed",0
"LT022","2020-03-15","confirmed",0
"LT022","2020-03-16","confirmed",0
"LT022","2020-03-17","confirmed",1
"LT022","2020-03-18","confirmed",2
"LT022","2020-03-19","confirmed",2
"LT022","2020-03-20","confirmed",4
"LT022","2020-03-21","confirmed",8
"LT022","2020-03-22","confirmed",8
"LT022","2020-03-23","confirmed",3
"LT022","2020-03-24","confirmed",10
"LT022","2020-03-25","confirmed",1
"LT022","2020-03-26","confirmed",1
"LT022","2020-03-27","confirmed",0
"LT022","2020-03-28","confirmed",1
"LT022","2020-03-29","confirmed",0
"LT022","2020-03-30","confirmed",0
"LT022","2020-03-31","confirmed",0
"LT022","2020-04-01","confirmed",0
"LT022","2020-04-02","confirmed",0
"LT022","2020-04-03","confirmed",0
"LT022","2020-04-04","confirmed",0
"LT022","2020-04-05","confirmed",0
"LT022","2020-04-06","confirmed",1
"LT022","2020-04-07","confirmed",0
"LT022","2020-04-08","confirmed",0
"LT023","2020-02-24","confirmed",0
"LT023","2020-02-25","confirmed",0
"LT023","2020-02-26","confirmed",0
"LT023","2020-02-27","confirmed",0
"LT023","2020-02-28","confirmed",0
"LT023","2020-02-29","confirmed",0
"LT023","2020-03-01","confirmed",0
"LT023","2020-03-02","confirmed",0
"LT023","2020-03-03","confirmed",0
"LT023","2020-03-04","confirmed",0
"LT023","2020-03-05","confirmed",0
"LT023","2020-03-06","confirmed",0
"LT023","2020-03-07","confirmed",0
"LT023","2020-03-08","confirmed",0
"LT023","2020-03-09","confirmed",0
"LT023","2020-03-10","confirmed",0
"LT023","2020-03-11","confirmed",0
"LT023","2020-03-12","confirmed",0
"LT023","2020-03-13","confirmed",1
"LT023","2020-03-14","confirmed",1
"LT023","2020-03-15","confirmed",0
"LT023","2020-03-16","confirmed",0
"LT023","2020-03-17","confirmed",2
"LT023","2020-03-18","confirmed",2
"LT023","2020-03-19","confirmed",4
"LT023","2020-03-20","confirmed",4
"LT023","2020-03-21","confirmed",7
"LT023","2020-03-22","confirmed",3
"LT023","2020-03-23","confirmed",6
"LT023","2020-03-24","confirmed",4
"LT023","2020-03-25","confirmed",7
"LT023","2020-03-26","confirmed",15
"LT023","2020-03-27","confirmed",1
"LT023","2020-03-28","confirmed",0
"LT023","2020-03-29","confirmed",0
"LT023","2020-03-30","confirmed",0
"LT023","2020-03-31","confirmed",0
"LT023","2020-04-01","confirmed",0
"LT023","2020-04-02","confirmed",0
"LT023","2020-04-03","confirmed",0
"LT023","2020-04-04","confirmed",0
"LT023","2020-04-05","confirmed",0
"LT023","2020-04-06","confirmed",1
"LT023","2020-04-07","confirmed",0
"LT023","2020-04-08","confirmed",0
"LT024","2020-02-24","confirmed",0
"LT024","2020-02-25","confirmed",0
"LT024","2020-02-26","confirmed",0
"LT024","2020-02-27","confirmed",0
"LT024","2020-02-28","confirmed",0
"LT024","2020-02-29","confirmed",0
"LT024","2020-03-01","confirmed",0
"LT024","2020-03-02","confirmed",0
"LT024","2020-03-03","confirmed",0
"LT024","2020-03-04","confirmed",0
"LT024","2020-03-05","confirmed",0
"LT024","2020-03-06","confirmed",0
"LT024","2020-03-07","confirmed",0
"LT024","2020-03-08","confirmed",0
"LT024","2020-03-09","confirmed",0
"LT024","2020-03-10","confirmed",0
"LT024","2020-03-11","confirmed",0
"LT024","2020-03-12","confirmed",0
"LT024","2020-03-13","confirmed",0
"LT024","2020-03-14","confirmed",0
"LT024","2020-03-15","confirmed",0
"LT024","2020-03-16","confirmed",0
"LT024","2020-03-17","confirmed",0
"LT024","2020-03-18","confirmed",0
"LT024","2020-03-19","confirmed",0
"LT024","2020-03-20","confirmed",0
"LT024","2020-03-21","confirmed",0
"LT024","2020-03-22","confirmed",1
"LT024","2020-03-23","confirmed",0
"LT024","2020-03-24","confirmed",0
"LT024","2020-03-25","confirmed",0
"LT024","2020-03-26","confirmed",0
"LT024","2020-03-27","confirmed",0
"LT024","2020-03-28","confirmed",0
"LT024","2020-03-29","confirmed",0
"LT024","2020-03-30","confirmed",0
"LT024","2020-03-31","confirmed",0
"LT024","2020-04-01","confirmed",0
"LT024","2020-04-02","confirmed",0
"LT024","2020-04-03","confirmed",0
"LT024","2020-04-04","confirmed",0
"LT024","2020-04-05","confirmed",0
"LT024","2020-04-06","confirmed",1
"LT024","2020-04-07","confirmed",0
"LT024","2020-04-08","confirmed",0
"LT025","2020-02-24","confirmed",0
"LT025","2020-02-25","confirmed",0
"LT025","2020-02-26","confirmed",0
"LT025","2020-02-27","confirmed",0
"LT025","2020-02-28","confirmed",0
"LT025","2020-02-29","confirmed",0
"LT025","2020-03-01","confirmed",0
"LT025","2020-03-02","confirmed",0
"LT025","2020-03-03","confirmed",0
"LT025","2020-03-04","confirmed",0
"LT025","2020-03-05","confirmed",0
"LT025","2020-03-06","confirmed",0
"LT025","2020-03-07","confirmed",0
"LT025","2020-03-08","confirmed",0
"LT025","2020-03-09","confirmed",0
"LT025","2020-03-10","confirmed",0
"LT025","2020-03-11","confirmed",0
"LT025","2020-03-12","confirmed",0
"LT025","2020-03-13","confirmed",0
"LT025","2020-03-14","confirmed",0
"LT025","2020-03-15","confirmed",1
"LT025","2020-03-16","confirmed",1
"LT025","2020-03-17","confirmed",0
"LT025","2020-03-18","confirmed",0
"LT025","2020-03-19","confirmed",0
"LT025","2020-03-20","confirmed",0
"LT025","2020-03-21","confirmed",0
"LT025","2020-03-22","confirmed",1
"LT025","2020-03-23","confirmed",2
"LT025","2020-03-24","confirmed",0
"LT025","2020-03-25","confirmed",0
"LT025","2020-03-26","confirmed",0
"LT025","2020-03-27","confirmed",0
"LT025","2020-03-28","confirmed",1
"LT025","2020-03-29","confirmed",0
"LT025","2020-03-30","confirmed",0
"LT025","2020-03-31","confirmed",0
"LT025","2020-04-01","confirmed",0
"LT025","2020-04-02","confirmed",0
"LT025","2020-04-03","confirmed",0
"LT025","2020-04-04","confirmed",0
"LT025","2020-04-05","confirmed",0
"LT025","2020-04-06","confirmed",1
"LT025","2020-04-07","confirmed",0
"LT025","2020-04-08","confirmed",0
"LT026","2020-02-24","confirmed",0
"LT026","2020-02-25","confirmed",0
"LT026","2020-02-26","confirmed",0
"LT026","2020-02-27","confirmed",0
"LT026","2020-02-28","confirmed",1
"LT026","2020-02-29","confirmed",0
"LT026","2020-03-01","confirmed",0
"LT026","2020-03-02","confirmed",0
"LT026","2020-03-03","confirmed",0
"LT026","2020-03-04","confirmed",0
"LT026","2020-03-05","confirmed",0
"LT026","2020-03-06","confirmed",0
"LT026","2020-03-07","confirmed",0
"LT026","2020-03-08","confirmed",0
"LT026","2020-03-09","confirmed",0
"LT026","2020-03-10","confirmed",0
"LT026","2020-03-11","confirmed",0
"LT026","2020-03-12","confirmed",0
"LT026","2020-03-13","confirmed",0
"LT026","2020-03-14","confirmed",0
"LT026","2020-03-15","confirmed",0
"LT026","2020-03-16","confirmed",0
"LT026","2020-03-17","confirmed",0
"LT026","2020-03-18","confirmed",1
"LT026","2020-03-19","confirmed",0
"LT026","2020-03-20","confirmed",0
"LT026","2020-03-21","confirmed",1
"LT026","2020-03-22","confirmed",1
"LT026","2020-03-23","confirmed",2
"LT026","2020-03-24","confirmed",5
"LT026","2020-03-25","confirmed",0
"LT026","2020-03-26","confirmed",0
"LT026","2020-03-27","confirmed",0
"LT026","2020-03-28","confirmed",0
"LT026","2020-03-29","confirmed",0
"LT026","2020-03-30","confirmed",0
"LT026","2020-03-31","confirmed",0
"LT026","2020-04-01","confirmed",0
"LT026","2020-04-02","confirmed",0
"LT026","2020-04-03","confirmed",0
"LT026","2020-04-04","confirmed",0
"LT026","2020-04-05","confirmed",0
"LT026","2020-04-06","confirmed",1
"LT026","2020-04-07","confirmed",0
"LT026","2020-04-08","confirmed",0
"LT027","2020-02-24","confirmed",0
"LT027","2020-02-25","confirmed",0
"LT027","2020-02-26","confirmed",0
"LT027","2020-02-27","confirmed",0
"LT027","2020-02-28","confirmed",0
"LT027","2020-02-29","confirmed",0
"LT027","2020-03-01","confirmed",0
"LT027","2020-03-02","confirmed",0
"LT027","2020-03-03","confirmed",0
"LT027","2020-03-04","confirmed",0
"LT027","2020-03-05","confirmed",0
"LT027","2020-03-06","confirmed",0
"LT027","2020-03-07","confirmed",0
"LT027","2020-03-08","confirmed",0
"LT027","2020-03-09","confirmed",0
